Generating SQLite file /home/aihimekpen/research_summer_2026/research/results/step1_profiling_unifolm_vla0/nsight_systems_20260805_140403/unifolm_vla0_nsys.sqlite from /home/aihimekpen/research_summer_2026/research/results/step1_profiling_unifolm_vla0/nsight_systems_20260805_140403/unifolm_vla0_nsys.nsys-rep
Processing [/home/aihimekpen/research_summer_2026/research/results/step1_profiling_unifolm_vla0/nsight_systems_20260805_140403/unifolm_vla0_nsys.sqlite] with [/opt/nvidia/nsight-systems/2023.1.2/host-linux-x64/reports/cuda_gpu_trace.py]... 

 ** CUDA GPU Trace (cuda_gpu_trace):

  Start (ns)    Duration (ns)  CorrId  GrdX  GrdY  GrdZ  BlkX  BlkY  BlkZ  Reg/Trd  StcSMem (MB)  DymSMem (MB)  Bytes (MB)  Throughput (MBps)  SrcMemKd  DstMemKd           Device           Ctx  Strm         Name       
 -------------  -------------  ------  ----  ----  ----  ----  ----  ----  -------  ------------  ------------  ----------  -----------------  --------  --------  ------------------------  ---  ----  ------------------
 8,290,103,739          1,887     649  None  None  None  None  None  None  None     None          None               0.000              1.060  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,533,253,026    173,746,337     772  None  None  None  None  None  None  None     None          None           1,089.995          5,449.974  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,708,843,524          2,241     798  None  None  None  None  None  None  None     None          None               0.007          3,198.569  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,710,096,901     21,630,540     829  None  None  None  None  None  None  None     None          None             135.791          6,246.367  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,733,164,946     22,202,285     858  None  None  None  None  None  None  None     None          None             135.791          6,110.577  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,756,936,351     21,540,716     889  None  None  None  None  None  None  None     None          None             135.791          6,246.367  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,778,934,252          2,400     904  None  None  None  None  None  None  None     None          None               0.007          2,986.662  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,779,177,804          1,408     919  None  None  None  None  None  None  None     None          None               0.001            727.272  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,779,570,892        465,504     934  None  None  None  None  None  None  None     None          None               3.670          7,883.194  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,780,699,757      3,950,530     953  None  None  None  None  None  None  None     None          None              25.690          6,499.598  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,784,925,135          2,080     968  None  None  None  None  None  None  None     None          None               0.007          3,446.152  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,785,619,631      3,948,547     989  None  None  None  None  None  None  None     None          None              25.690          6,499.598  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,789,827,762          1,408   1,004  None  None  None  None  None  None  None     None          None               0.001            727.272  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,790,229,778        463,041   1,019  None  None  None  None  None  None  None     None          None               3.670          7,923.565  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,790,928,466          2,080   1,034  None  None  None  None  None  None  None     None          None               0.007          3,446.152  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,792,029,587     21,306,412   1,063  None  None  None  None  None  None  None     None          None             135.791          6,246.367  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,814,874,688     21,293,548   1,094  None  None  None  None  None  None  None     None          None             135.791          6,246.367  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,837,643,629     21,379,083   1,123  None  None  None  None  None  None  None     None          None             135.791          6,246.367  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,859,486,841          2,400   1,138  None  None  None  None  None  None  None     None          None               0.007          2,986.662  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,859,724,057          1,376   1,153  None  None  None  None  None  None  None     None          None               0.001            744.186  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,860,131,897        466,081   1,168  None  None  None  None  None  None  None     None          None               3.670          7,872.184  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,863,463,131      3,892,450   1,189  None  None  None  None  None  None  None     None          None              25.690          6,576.669  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,867,620,029          2,080   1,204  None  None  None  None  None  None  None     None          None               0.007          3,446.152  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,868,185,821      3,883,170   1,223  None  None  None  None  None  None  None     None          None              25.690          6,602.359  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,872,323,263          1,408   1,238  None  None  None  None  None  None  None     None          None               0.001            727.272  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,872,713,631        463,264   1,253  None  None  None  None  None  None  None     None          None               3.670          7,919.895  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
