VLA action generation — torch.profiler key averages
profiler_source=pytorch_profiler
generated_at=2026-06-17T15:35:27
run_tag=pytorch_profiler_20260617_153504
sort_by=cuda_time_total | n_profile_steps=3
========================================================================

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         3.53%      49.811ms        62.38%     880.421ms     173.653us       0.000us         0.00%        2.339s     461.369us           0 b           0 b       4.74 Gb     -69.53 Gb          5070  
void magma_sgemmEx_kernel<float, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     920.244ms        65.38%     920.244ms     854.451us           0 b           0 b           0 b           0 b          1077  
                                           aten::matmul         0.63%       8.937ms         3.11%      43.926ms      62.573us       0.000us         0.00%     642.828ms     915.709us           0 b           0 b       1.50 Gb           0 b           702  
                                               aten::mm         0.66%       9.313ms         0.91%      12.830ms      37.847us     629.847ms        44.75%     629.847ms       1.858ms           0 b           0 b     817.36 Mb     817.36 Mb           339  
                                            aten::addmm         5.20%      73.421ms        12.11%     170.947ms      77.845us     412.276ms        29.29%     412.276ms     187.740us           0 b           0 b       1.32 Gb       1.32 Gb          2196  
                                            aten::copy_         5.99%      84.596ms        24.86%     350.807ms      44.820us     270.321ms        19.20%     270.321ms      34.537us           0 b           0 b           0 b           0 b          7827  
                                               aten::to         1.07%      15.068ms        33.47%     472.312ms      54.990us       0.000us         0.00%     268.322ms      31.240us      12.87 Kb           0 b      72.53 Gb           0 b          8589  
                                         aten::_to_copy         3.33%      46.982ms        32.40%     457.244ms      61.458us       0.000us         0.00%     268.322ms      36.065us      12.87 Kb           0 b      72.53 Gb           0 b          7440  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     192.551ms        13.68%     192.551ms      55.812us           0 b           0 b           0 b           0 b          3450  
