task_id,unnorm_key,dataset_id,checkpoint_dir,checkpoint_pth,n_train_episodes,n_heldout_episodes,train_rmse,train_jerk,heldout_rmse_mean,heldout_rmse_std,heldout_jerk_mean,leaky_rate,ridge_alpha,step_hz,status
stack_block,g1_stack_block,unitreerobotics/G1_Stack_Block,/home/aihimekpen/research_summer_2026/research/models/esn_cuda_ridge_stack_block,/home/aihimekpen/research_summer_2026/research/models/esn_cuda_ridge_stack_block/esn_cuda_ridge_best.pth,160,40,0.0037915910450900224,6.626302820222918e-06,0.00425132318278877,0.002835067964967074,6.45878750447082e-06,0.3,1.0,2737.133103249936,ok
bag_insert,g1_bag_insert,unitreerobotics/G1_Bag_Insert,/home/aihimekpen/research_summer_2026/research/models/esn_cuda_ridge_bag_insert,/home/aihimekpen/research_summer_2026/research/models/esn_cuda_ridge_bag_insert/esn_cuda_ridge_best.pth,160,40,0.01738509011884521,1.438163235434331e-05,0.04003987576825935,0.10173918589774895,2.1482087515778402e-05,0.3,1.0,2835.6555147617855,ok
erase_board,g1_erase_board,unitreerobotics/G1_Erase_Board,/home/aihimekpen/research_summer_2026/research/models/esn_cuda_ridge_erase_board,/home/aihimekpen/research_summer_2026/research/models/esn_cuda_ridge_erase_board/esn_cuda_ridge_best.pth,160,40,0.0030661121678884928,2.7132532522955444e-06,0.007634067564691377,0.006831683362312615,4.542472873936277e-06,0.3,1.0,2836.790126355452,ok
clean_table,g1_clean_table,unitreerobotics/G1_Clean_Table,/home/aihimekpen/research_summer_2026/research/models/esn_cuda_ridge_clean_table,/home/aihimekpen/research_summer_2026/research/models/esn_cuda_ridge_clean_table/esn_cuda_ridge_best.pth,160,40,0.0008864132798563836,3.9464621295337565e-06,0.003679549361694787,0.006718069911755266,4.951087453264335e-06,0.3,1.0,2771.0150491095737,ok
pack_pencilbox,g1_pack_pencilbox,unitreerobotics/G1_Pack_PencilBox,/home/aihimekpen/research_summer_2026/research/models/esn_cuda_ridge_pack_pencilbox,/home/aihimekpen/research_summer_2026/research/models/esn_cuda_ridge_pack_pencilbox/esn_cuda_ridge_best.pth,160,40,0.0032131812635327133,4.6952804950706195e-06,0.004774834402684834,0.0022222317891537145,4.681273736650837e-06,0.3,1.0,2766.0858356331173,ok
pour_medicine,g1_pour_medicine,unitreerobotics/G1_Pour_Medicine,/home/aihimekpen/research_summer_2026/research/models/esn_cuda_ridge_pour_medicine,/home/aihimekpen/research_summer_2026/research/models/esn_cuda_ridge_pour_medicine/esn_cuda_ridge_best.pth,160,40,0.0018413953927699982,6.454489721363643e-06,0.0023320297462407786,0.001229269771189872,5.784265079000761e-06,0.3,1.0,2836.184370665254,ok
pack_pingpong,g1_pack_pingpong,unitreerobotics/G1_Pack_PingPong,/home/aihimekpen/research_summer_2026/research/models/esn_cuda_ridge_pack_pingpong,/home/aihimekpen/research_summer_2026/research/models/esn_cuda_ridge_pack_pingpong/esn_cuda_ridge_best.pth,160,40,0.0030291954100740235,4.097197233932093e-06,0.017347318822221975,0.06864428807320418,1.150882297906719e-05,0.3,1.0,2769.7396132872486,ok
prepare_fruit,g1_prepare_fruit,unitreerobotics/G1_Prepare_Fruit,/home/aihimekpen/research_summer_2026/research/models/esn_cuda_ridge_prepare_fruit,/home/aihimekpen/research_summer_2026/research/models/esn_cuda_ridge_prepare_fruit/esn_cuda_ridge_best.pth,160,40,0.0007339116401620405,9.394397238793317e-06,0.0014044308219683516,0.0006807746152104376,9.655106248374068e-06,0.3,1.0,2694.8100524671904,ok
organize_tools,g1_organize_tools,unitreerobotics/G1_Organize_Tools,/home/aihimekpen/research_summer_2026/research/models/esn_cuda_ridge_organize_tools,/home/aihimekpen/research_summer_2026/research/models/esn_cuda_ridge_organize_tools/esn_cuda_ridge_best.pth,160,40,0.0006817482654796102,4.211162831779802e-06,0.0007723911392783485,0.0002046630490589583,5.3276229834864354e-06,0.3,1.0,2692.2223357937078,ok
fold_towel,g1_fold_towel,unitreerobotics/G1_Fold_Towel,/home/aihimekpen/research_summer_2026/research/models/esn_cuda_ridge_fold_towel,/home/aihimekpen/research_summer_2026/research/models/esn_cuda_ridge_fold_towel/esn_cuda_ridge_best.pth,160,40,0.0007515220241004158,9.242118721886072e-06,0.0010498117691522255,0.0010507801283829526,6.51410782666062e-06,0.3,1.0,2773.198361565661,ok
wipe_table,g1_wipe_table,unitreerobotics/G1_Dex1_Wipe_Table,/home/aihimekpen/research_summer_2026/research/models/esn_cuda_ridge,/home/aihimekpen/research_summer_2026/research/models/esn_cuda_ridge/esn_cuda_ridge_best.pth,160,40,0.0011024242554591292,5.1038668971159495e-06,0.0027750881633227665,0.0034445573325602376,4.757448931513864e-06,0.3,1.0,2855.75762718679,ok
