method,episode,rmse,mse,jerk,jerk_rms,control_hz,vla_hz
zoh,160,0.05816443,3.38310073e-03,2.13163832e-04,3.57965625e+04,100.0,2.0
linear,160,0.01893414,3.58501828e-04,4.26327642e-06,4.82594973e+02,100.0,2.0
pid,160,0.07949128,6.31886348e-03,6.02224009e-06,1.14657739e+03,100.0,2.0
zoh,161,0.05576774,3.11004138e-03,1.77035472e-04,3.26239226e+04,100.0,2.0
linear,161,0.01280470,1.63960343e-04,3.54070903e-06,4.44403916e+02,100.0,2.0
pid,161,0.07404157,5.48215397e-03,5.01940531e-06,1.04495603e+03,100.0,2.0
zoh,162,0.05191797,2.69547570e-03,1.48766354e-04,2.99021703e+04,100.0,2.0
linear,162,0.01307335,1.70912550e-04,2.97532733e-06,3.85836560e+02,100.0,2.0
pid,162,0.06924026,4.79421392e-03,4.27329496e-06,9.57778043e+02,100.0,2.0
zoh,163,0.05144593,2.64668325e-03,1.50992069e-04,3.01230932e+04,100.0,2.0
linear,163,0.01233158,1.52067922e-04,3.01984096e-06,4.32616847e+02,100.0,2.0
pid,163,0.06747339,4.55265818e-03,4.28306612e-06,9.64855662e+02,100.0,2.0
zoh,164,0.04390392,1.92755379e-03,1.06786691e-04,2.53333438e+04,100.0,2.0
linear,164,0.01200980,1.44235324e-04,2.13573367e-06,3.13336164e+02,100.0,2.0
pid,164,0.05942917,3.53182619e-03,3.11798726e-06,8.11437258e+02,100.0,2.0
zoh,165,0.05053776,2.55406532e-03,1.41247161e-04,2.91324826e+04,100.0,2.0
linear,165,0.01237224,1.53072382e-04,2.82494329e-06,3.63681350e+02,100.0,2.0
pid,165,0.06792794,4.61420463e-03,4.11929295e-06,9.33124760e+02,100.0,2.0
zoh,166,0.07754707,6.01354754e-03,3.12462624e-04,4.33421760e+04,100.0,2.0
linear,166,0.02859268,8.17541266e-04,6.24925269e-06,6.18942774e+02,100.0,2.0
pid,166,0.10157565,1.03176124e-02,8.90763931e-06,1.38826649e+03,100.0,2.0
zoh,167,0.04802620,2.30651558e-03,1.28755040e-04,2.78171104e+04,100.0,2.0
linear,167,0.01403018,1.96845926e-04,2.57510123e-06,3.86261875e+02,100.0,2.0
pid,167,0.06342386,4.02258569e-03,3.68981273e-06,8.90992098e+02,100.0,2.0
zoh,168,0.05167676,2.67048716e-03,1.43206664e-04,2.93345822e+04,100.0,2.0
linear,168,0.01510161,2.28058649e-04,2.86413342e-06,4.16705054e+02,100.0,2.0
pid,168,0.06719339,4.51495172e-03,4.08798314e-06,9.39597184e+02,100.0,2.0
zoh,169,0.04793149,2.29742820e-03,1.33872469e-04,2.83648506e+04,100.0,2.0
linear,169,0.01316238,1.73248249e-04,2.67744963e-06,3.75422956e+02,100.0,2.0
pid,169,0.06456634,4.16881172e-03,3.83740462e-06,9.08537045e+02,100.0,2.0
zoh,170,0.04555608,2.07535643e-03,1.07907945e-04,2.54662763e+04,100.0,2.0
linear,170,0.01166856,1.36155228e-04,2.15815862e-06,3.34163042e+02,100.0,2.0
pid,170,0.05978107,3.57377576e-03,3.12306247e-06,8.15695087e+02,100.0,2.0
zoh,171,0.04941132,2.44147889e-03,1.37077761e-04,2.86993759e+04,100.0,2.0
linear,171,0.01685171,2.83980102e-04,2.74155491e-06,4.20189724e+02,100.0,2.0
pid,171,0.06482022,4.20166133e-03,3.85635531e-06,9.19251171e+02,100.0,2.0
zoh,172,0.06011443,3.61374463e-03,2.05275966e-04,3.51294120e+04,100.0,2.0
linear,172,0.01851235,3.42706975e-04,4.10551957e-06,4.87894691e+02,100.0,2.0
pid,172,0.07973838,6.35820860e-03,5.82237089e-06,1.12520951e+03,100.0,2.0
zoh,173,0.04769094,2.27442547e-03,1.23498583e-04,2.72410489e+04,100.0,2.0
linear,173,0.01181627,1.39624142e-04,2.46997161e-06,3.86965841e+02,100.0,2.0
pid,173,0.06183193,3.82318720e-03,3.51944914e-06,8.72541593e+02,100.0,2.0
zoh,174,0.06899194,4.75988723e-03,2.65006471e-04,3.99084786e+04,100.0,2.0
linear,174,0.02108958,4.44770354e-04,5.30012949e-06,5.23622433e+02,100.0,2.0
pid,174,0.09214271,8.49027839e-03,7.57940097e-06,1.27828479e+03,100.0,2.0
zoh,175,0.04488079,2.01428519e-03,1.13528622e-04,2.61204603e+04,100.0,2.0
linear,175,0.01315489,1.73051070e-04,2.27057239e-06,3.47312217e+02,100.0,2.0
pid,175,0.06049049,3.65909911e-03,3.27852490e-06,8.36649037e+02,100.0,2.0
zoh,176,0.08995913,8.09264556e-03,4.24693659e-04,5.05150864e+04,100.0,2.0
linear,176,0.02395406,5.73796860e-04,8.49387379e-06,7.47389069e+02,100.0,2.0
pid,176,0.11488024,1.31974686e-02,1.17305781e-05,1.61801588e+03,100.0,2.0
zoh,177,0.05866191,3.44121922e-03,1.76427435e-04,3.25646014e+04,100.0,2.0
linear,177,0.01782066,3.17575817e-04,3.52854863e-06,4.32106426e+02,100.0,2.0
pid,177,0.07682236,5.90167521e-03,5.07652976e-06,1.04305587e+03,100.0,2.0
zoh,178,0.05549371,3.07955220e-03,1.76983289e-04,3.26163858e+04,100.0,2.0
linear,178,0.01697033,2.87992269e-04,3.53966539e-06,4.57805125e+02,100.0,2.0
pid,178,0.07296631,5.32408245e-03,4.75224579e-06,1.04471442e+03,100.0,2.0
zoh,179,0.05253851,2.76029459e-03,1.46115577e-04,2.96331705e+04,100.0,2.0
linear,179,0.01506714,2.27018842e-04,2.92231152e-06,4.01693932e+02,100.0,2.0
pid,179,0.06880126,4.73361369e-03,4.18919853e-06,9.49161226e+02,100.0,2.0
zoh,180,0.05256877,2.76347576e-03,1.53262896e-04,3.03475851e+04,100.0,2.0
linear,180,0.01513123,2.28954144e-04,3.06525749e-06,4.25960322e+02,100.0,2.0
pid,180,0.06925362,4.79606399e-03,4.37217614e-06,9.72044875e+02,100.0,2.0
zoh,181,0.05180772,2.68403953e-03,1.58089519e-04,3.08190625e+04,100.0,2.0
linear,181,0.01493840,2.23155745e-04,3.16179012e-06,4.00489708e+02,100.0,2.0
pid,181,0.07036827,4.95169358e-03,4.57825627e-06,9.87146964e+02,100.0,2.0
zoh,182,0.04700232,2.20921775e-03,1.27290201e-04,2.76568274e+04,100.0,2.0
linear,182,0.01150310,1.32321293e-04,2.54580391e-06,3.46312240e+02,100.0,2.0
pid,182,0.06364620,4.05083830e-03,3.70992007e-06,8.85859459e+02,100.0,2.0
zoh,183,0.07189478,5.16885985e-03,2.93028104e-04,4.19695082e+04,100.0,2.0
linear,183,0.02498652,6.24326407e-04,5.86056194e-06,5.98374393e+02,100.0,2.0
pid,183,0.09492361,9.01049096e-03,8.21546382e-06,1.34429984e+03,100.0,2.0
zoh,184,0.04609593,2.12483481e-03,1.28791333e-04,2.78173657e+04,100.0,2.0
linear,184,0.01470453,2.16223096e-04,2.57582656e-06,3.91266339e+02,100.0,2.0
pid,184,0.06227919,3.87869752e-03,3.67814960e-06,8.91000897e+02,100.0,2.0
zoh,185,0.05185232,2.68866331e-03,1.52166118e-04,3.02412589e+04,100.0,2.0
linear,185,0.01199423,1.43861660e-04,3.04332229e-06,3.89299014e+02,100.0,2.0
pid,185,0.06939875,4.81618708e-03,4.41650491e-06,9.68639652e+02,100.0,2.0
zoh,186,0.06081514,3.69848148e-03,1.97976493e-04,3.44930013e+04,100.0,2.0
linear,186,0.01735059,3.01042804e-04,3.95952975e-06,4.68568798e+02,100.0,2.0
pid,186,0.07998716,6.39794581e-03,5.69013218e-06,1.10482583e+03,100.0,2.0
zoh,187,0.04906357,2.40723346e-03,1.31405337e-04,2.81018879e+04,100.0,2.0
linear,187,0.01349559,1.82130869e-04,2.62810659e-06,4.04846124e+02,100.0,2.0
pid,187,0.06417642,4.11861297e-03,3.74593560e-06,9.00114240e+02,100.0,2.0
zoh,188,0.04773214,2.27835751e-03,1.21502919e-04,2.70270176e+04,100.0,2.0
linear,188,0.01273078,1.62072713e-04,2.43005820e-06,3.50648279e+02,100.0,2.0
pid,188,0.06322348,3.99720902e-03,3.51922722e-06,8.65686693e+02,100.0,2.0
zoh,189,0.06043257,3.65209556e-03,1.85027791e-04,3.33431604e+04,100.0,2.0
linear,189,0.02148909,4.61780844e-04,3.70055568e-06,4.88333527e+02,100.0,2.0
pid,189,0.07761951,6.02478767e-03,5.24094276e-06,1.06799489e+03,100.0,2.0
zoh,190,0.04997677,2.49767746e-03,1.40380609e-04,2.90420218e+04,100.0,2.0
linear,190,0.01166175,1.35996306e-04,2.80761219e-06,3.72339427e+02,100.0,2.0
pid,190,0.06701744,4.49133711e-03,4.05836590e-06,9.30226916e+02,100.0,2.0
zoh,191,0.06310653,3.98243451e-03,2.21498631e-04,3.64923314e+04,100.0,2.0
linear,191,0.01903059,3.62163380e-04,4.42997271e-06,4.95803989e+02,100.0,2.0
pid,191,0.08357264,6.98438659e-03,6.32274896e-06,1.16886283e+03,100.0,2.0
zoh,192,0.04730085,2.23737047e-03,1.32647212e-04,2.82027030e+04,100.0,2.0
linear,192,0.01328417,1.76469126e-04,2.65294466e-06,3.72801674e+02,100.0,2.0
pid,192,0.06415422,4.11576359e-03,3.82650524e-06,9.03676823e+02,100.0,2.0
zoh,193,0.04941102,2.44144909e-03,1.36902527e-04,2.86848054e+04,100.0,2.0
linear,193,0.01256124,1.57784714e-04,2.73805040e-06,3.80634384e+02,100.0,2.0
pid,193,0.06562460,4.30658786e-03,3.92259017e-06,9.18785883e+02,100.0,2.0
zoh,194,0.04731340,2.23855791e-03,1.21873112e-04,2.70611853e+04,100.0,2.0
linear,194,0.01449153,2.10004539e-04,2.43746240e-06,3.69888999e+02,100.0,2.0
pid,194,0.06247527,3.90315941e-03,3.46965680e-06,8.66780218e+02,100.0,2.0
zoh,195,0.05340085,2.85165058e-03,1.58884592e-04,3.08996418e+04,100.0,2.0
linear,195,0.01534124,2.35353727e-04,3.17769195e-06,4.34845221e+02,100.0,2.0
pid,195,0.07082699,5.01646241e-03,4.54171368e-06,9.89727700e+02,100.0,2.0
zoh,196,0.04175083,1.74313178e-03,9.84567887e-05,2.43213458e+04,100.0,2.0
linear,196,0.01285349,1.65212317e-04,1.96913584e-06,3.22802280e+02,100.0,2.0
pid,196,0.05615639,3.15353996e-03,2.80155518e-06,7.79021866e+02,100.0,2.0
zoh,197,0.05351095,2.86342180e-03,1.56635011e-04,3.06791060e+04,100.0,2.0
linear,197,0.01331252,1.77223235e-04,3.13270016e-06,4.26238463e+02,100.0,2.0
pid,197,0.07005784,4.90810163e-03,4.49666095e-06,9.82663474e+02,100.0,2.0
zoh,198,0.05194750,2.69854278e-03,1.50266220e-04,3.00468785e+04,100.0,2.0
linear,198,0.01386375,1.92203559e-04,3.00532452e-06,4.19902792e+02,100.0,2.0
pid,198,0.06846967,4.68809530e-03,4.30097816e-06,9.62412623e+02,100.0,2.0
zoh,199,0.04870811,2.37248046e-03,1.27424806e-04,2.76701480e+04,100.0,2.0
linear,199,0.01551670,2.40767826e-04,2.54849579e-06,3.74610733e+02,100.0,2.0
pid,199,0.06439787,4.14708583e-03,3.66469635e-06,8.86285114e+02,100.0,2.0
